"","Species","Performance metric","ms_mod_OM__ss_run_M_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"60","Cod","OM: Terminal B",599446.202707398,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"61","Cod","OM: Terminal SSB",260834.853305952,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",418359.92048282,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",261.095949255207,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.621903186341148,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.643857703695555,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_M_Tier3_EM","TRUE",200
