"","Species","Performance metric","ms_mod_ricker_ssp126_OM__ms_run_cmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"52","Cod","EM: P(Fy > Flimit)",0.96125,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",0.010875,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0.9490625,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0.8595,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.013375,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0011875,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.848625,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"60","Cod","OM: Terminal B",45568.4492520082,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"61","Cod","OM: Terminal SSB",10928.9315283799,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",324903.850043939,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",10.9398713997797,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.0331456258464238,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.132166959686186,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
