"","Species","Performance metric","ms_mod_OM__ms_run_cmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.013375,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000125,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.908125,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"56","Cod","OM: Terminal B",348298.47801189,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"57","Cod","OM: Terminal SSB",55621.8198540158,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"58","Cod","OM: Terminal SSB Depletion",55.6774973513672,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.132848883812531,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"60","Cod","OM: Average SSB Depletion",0.161805075000911,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"61","Cod","OM no F: SSB Collapse",0,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"62","Cod","OM: SSB Collapse",31,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"63","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
