"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ss_run_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"51","Cod","OM: P(SSB < SSBlimit)",0.549875,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.004875,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.65125,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.54975,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"56","Cod","OM: Terminal B",123015.73869406,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"57","Cod","OM: Terminal SSB",43749.1169876761,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"58","Cod","OM: Terminal SSB Depletion",43.7929098975737,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.146300595938978,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"60","Cod","OM: Average SSB Depletion",0.283725588924497,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"61","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"62","Cod","OM: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"63","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
