"","Species","Performance metric","ms_mod_ssp245_OM__ss_run_M_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.35055653980822,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"18","Pollock","OM: Average SSB Depletion",1.37030007930915,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"19","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"20","Pollock","OM: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"22","Arrowtooth flounder","Average Catch",70310.9359006809,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"23","Arrowtooth flounder","Catch IAV",0.340027365490253,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"24","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"25","Arrowtooth flounder","Avg SSB Relative MSE",0.578736316696982,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"26","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.023245200285873,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"27","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.00375,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"29","Arrowtooth flounder","OM: P(Fy > Flimit)",0.017875,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"30","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"31","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"32","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.03575,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00375,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"35","Arrowtooth flounder","OM: Terminal B",886856.13650493,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"36","Arrowtooth flounder","OM: Terminal SSB",124032.668593908,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"37","Arrowtooth flounder","OM: Terminal SSB Depletion",124.156825419327,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.580239190392172,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.496258459600818,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"41","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"42","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"43","Cod","Average Catch",14881.0375080032,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"44","Cod","Catch IAV",0.235049637005768,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"45","Cod","P(Closed)",0.000875,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"46","Cod","Avg SSB Relative MSE",0.490172315609967,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"47","Cod","Avg terminal SSB Relative MSE",0.0894415736146584,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"48","Cod","EM: P(Fy > Flimit)",0.0153125,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"49","Cod","EM: P(SSB < SSBlimit)",6.25e-05,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"50","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"51","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.030625,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",6.25e-05,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"56","Cod","OM: Terminal B",471949.144734125,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"57","Cod","OM: Terminal SSB",203915.857797926,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"58","Cod","OM: Terminal SSB Depletion",204.119977775702,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.695733102111457,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"60","Cod","OM: Average SSB Depletion",0.669729231453575,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"61","Cod","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"62","Cod","OM: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"63","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
