"","Species","Performance metric","ms_mod_ssp585_OM__ss_run_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0001875,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"37","Arrowtooth flounder","OM: Terminal B",555027.427356107,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"38","Arrowtooth flounder","OM: Terminal SSB",47887.45612961,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",108569.525217649,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",47.9353915211312,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.439748268142155,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.676025627835202,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"47","Cod","Average Catch",23635.9122533151,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"48","Cod","Catch IAV",0.23519978188521,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"49","Cod","P(Closed)",0.0015625,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"50","Cod","Avg SSB Relative MSE",0.397376468715946,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"51","Cod","Avg terminal SSB Relative MSE",0.0134066567520866,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit)",0.0055625,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",0.0001875,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0.2683125,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0.01575,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0056875,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.5311875,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0155625,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"60","Cod","OM: Terminal B",334041.730281545,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"61","Cod","OM: Terminal SSB",125285.478948029,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",259838.290577973,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",125.410889837867,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.476319032185946,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.373285384468603,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
