"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ms_run_cmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"25","Arrowtooth flounder","Catch IAV",0.0957508523003263,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.475725807665839,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0323546489736188,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",6.25e-05,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.13325,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.0823125,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.1331875,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0823125,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"37","Arrowtooth flounder","OM: Terminal B",123764.485126338,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"38","Arrowtooth flounder","OM: Terminal SSB",18710.5020730093,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",140299.797591841,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",18.7292313043136,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.131683462214303,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.670491186378247,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"47","Cod","Average Catch",12173.2091557724,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"48","Cod","Catch IAV",0.660634001491,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"49","Cod","P(Closed)",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"50","Cod","Avg SSB Relative MSE",0.559222717571116,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"51","Cod","Avg terminal SSB Relative MSE",0.0138257292585218,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit)",0.9599375,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",0.15575,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0.949,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0.85575,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0134375,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0025,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.7,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"60","Cod","OM: Terminal B",7813.70738702383,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"61","Cod","OM: Terminal SSB",2164.7022475738,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",291626.537602775,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",2.16686911669049,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.00720337179714509,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.123696539212978,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"67","Cod","OM: SSB Collapse",92,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",92,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
