"","Species","Performance metric","ms_mod_OM__ss_run_M_dynamicTier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"37","Arrowtooth flounder","OM: Terminal B",1736814.72102326,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"38","Arrowtooth flounder","OM: Terminal SSB",327263.009409651,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",702851.237414586,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",327.590600009661,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.464131866529261,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.485601867433328,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"47","Cod","Average Catch",18743.0636226842,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"48","Cod","Catch IAV",0.175170192841159,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"49","Cod","P(Closed)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"50","Cod","Avg SSB Relative MSE",0.503988501469906,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"51","Cod","Avg terminal SSB Relative MSE",0.1192890479811,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"52","Cod","EM: P(Fy > Flimit)",0.0154375,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"53","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"54","Cod","OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"55","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.030875,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"60","Cod","OM: Terminal B",612501.470407493,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"61","Cod","OM: Terminal SSB",270473.505393485,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"62","Cod","OM: Terminal Dynamic SB0",417403.816575285,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"63","Cod","OM: Terminal SSB Depletion",270.744249643129,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.645192523076156,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"65","Cod","OM: Average SSB Depletion",0.663049419842725,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
