"","Species","Performance metric","ms_mod_ssp126_OM__ms_run_fb40_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"32","Arrowtooth flounder","OM: Terminal B",1612771.67754085,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"33","Arrowtooth flounder","OM: Terminal SSB",443036.19928638,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",443.479678965345,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.7899602713682,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.791308143220923,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"37","Cod","Average Catch",18398.7288441978,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"38","Cod","Catch IAV",0.165808903840486,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"39","Cod","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"40","Cod","Avg SSB Relative MSE",0.503336524190281,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"41","Cod","Avg terminal SSB Relative MSE",0.104906621347095,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"42","Cod","EM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"50","Cod","OM: Terminal B",457966.006311664,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"51","Cod","OM: Terminal SSB",200481.352455556,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"52","Cod","OM: Terminal SSB Depletion",200.682034490046,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.579347583276458,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"54","Cod","OM: Average SSB Depletion",0.588917434797314,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
