"","Species","Performance metric","ms_mod_OM__ms_run_fb40_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"50","Cod","OM: Terminal B",591827.412956826,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"51","Cod","OM: Terminal SSB",250208.982447784,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"52","Cod","OM: Terminal SSB Depletion",250.459441889674,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.597864046917447,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"54","Cod","OM: Average SSB Depletion",0.602512315437162,"ms_mod_OM","ms_run_fb40_EM","FALSE"
