"","Species","Performance metric","ms_mod_ssp585_OM__ss_run_M_dynamicTier3_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"14","Pollock","OM: Terminal B",1121947.29847796,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"15","Pollock","OM: Terminal SSB",187585.039978546,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"16","Pollock","OM: Terminal SSB Depletion",187.772812791338,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.00720647491106,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"18","Pollock","OM: Average SSB Depletion",1.12433768200477,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"19","Arrowtooth flounder","Average Catch",64952.0678905651,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"20","Arrowtooth flounder","Catch IAV",0.360289955289616,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.581613298052589,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0258962030156316,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.000847457627118644,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.036864406779661,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.073728813559322,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000847457627118644,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"32","Arrowtooth flounder","OM: Terminal B",545152.38704503,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"33","Arrowtooth flounder","OM: Terminal SSB",43659.4264198233,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",43.7031295493727,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.399889235276231,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.447906761894078,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"37","Cod","Average Catch",14492.6098831747,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"38","Cod","Catch IAV",0.208558636442006,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"39","Cod","P(Closed)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"40","Cod","Avg SSB Relative MSE",0.501639742505906,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"41","Cod","Avg terminal SSB Relative MSE",0.131981695520248,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"42","Cod","EM: P(Fy > Flimit)",0.0141949152542373,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0283898305084746,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"50","Cod","OM: Terminal B",416641.277205403,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"51","Cod","OM: Terminal SSB",191030.057226227,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"52","Cod","OM: Terminal SSB Depletion",191.221278504732,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.730221863055123,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"54","Cod","OM: Average SSB Depletion",0.660298878800509,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
