"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ss_run_M_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.001375,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.274375,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.06475,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"37","Arrowtooth flounder","OM: Terminal B",127768.787060973,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"38","Arrowtooth flounder","OM: Terminal SSB",19237.6847875756,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",140309.301043784,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",19.2569417293049,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.135583999323259,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.666406588907064,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"47","Cod","Average Catch",14551.4111124329,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"48","Cod","Catch IAV",0.198016877523851,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"49","Cod","P(Closed)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"50","Cod","Avg SSB Relative MSE",0.499750030639969,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"51","Cod","Avg terminal SSB Relative MSE",0.125393624782527,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit)",0.0136875,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.027375,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"60","Cod","OM: Terminal B",408426.613330612,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"61","Cod","OM: Terminal SSB",187786.969903985,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",291694.405809034,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",187.974944848834,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.63867066480021,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.681410680076398,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
