"","Species","Performance metric","ms_mod_ricker_OM__ms_run_cmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0125,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00452261306532663,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.77820351758794,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"60","Cod","OM: Terminal B",207189.275918155,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"61","Cod","OM: Terminal SSB",51828.1450822312,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"62","Cod","OM: Terminal Dynamic SB0",389428.835781321,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"63","Cod","OM: Terminal SSB Depletion",51.8800251073385,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.131426608934567,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"65","Cod","OM: Average SSB Depletion",0.186955015930514,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"67","Cod","OM: SSB Collapse",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"69","Cod","OM: SSB Collapse FAIL",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
