"","Species","Performance metric","ms_mod_ssp126_OM__ss_run_M_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.598749639786401,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.01828097868733,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.0223870056497175,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.044774011299435,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"32","Arrowtooth flounder","OM: Terminal B",1423641.46239995,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"33","Arrowtooth flounder","OM: Terminal SSB",278464.477747419,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",278.743220968387,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.495878122354964,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.49750706156501,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"37","Cod","Average Catch",16641.9551084964,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"38","Cod","Catch IAV",0.21606526919369,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"39","Cod","P(Closed)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"40","Cod","Avg SSB Relative MSE",0.497178901016398,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"41","Cod","Avg terminal SSB Relative MSE",0.101426772708222,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"42","Cod","EM: P(Fy > Flimit)",0.0140536723163842,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0281073446327684,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"50","Cod","OM: Terminal B",491733.165382858,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"51","Cod","OM: Terminal SSB",223101.358956784,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"52","Cod","OM: Terminal SSB Depletion",223.324683640424,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.647410933951797,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"54","Cod","OM: Average SSB Depletion",0.66750265442538,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
