"","Species","Performance metric","ms_mod_ricker_OM__ms_run_concmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.1066875,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.026375,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"60","Cod","OM: Terminal B",275606.916987881,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"61","Cod","OM: Terminal SSB",78769.6951303774,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",390127.328321574,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",78.8485436740515,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.199451855118662,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.210627443398743,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_OM","ms_run_concmsy_EM","TRUE",200
