"","Species","Performance metric","ms_mod_ssp126_OM__ms_run_fb40_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"31","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"32","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.94025,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"35","Arrowtooth flounder","OM: Terminal B",1394021.25927711,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"36","Arrowtooth flounder","OM: Terminal SSB",250985.529025879,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"37","Arrowtooth flounder","OM: Terminal SSB Depletion",251.23676579167,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.447383108559592,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.438825487859997,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"41","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"42","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"43","Cod","Average Catch",19149.9604176835,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"44","Cod","Catch IAV",0.164888088402906,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"45","Cod","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"46","Cod","Avg SSB Relative MSE",0.4995716765378,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"47","Cod","Avg terminal SSB Relative MSE",0.103740680495545,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"48","Cod","EM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"49","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"50","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"51","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"56","Cod","OM: Terminal B",475678.359688343,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"57","Cod","OM: Terminal SSB",210133.502177328,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"58","Cod","OM: Terminal SSB Depletion",210.343846023351,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.607072767227323,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"60","Cod","OM: Average SSB Depletion",0.610665512157767,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"61","Cod","OM no F: SSB Collapse",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"62","Cod","OM: SSB Collapse",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"63","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
