"","Species","Performance metric","ms_mod_ssp585_OM__ms_run_fb40_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.646883505425813,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"18","Pollock","OM: Average SSB Depletion",3.57278193945213,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"19","Arrowtooth flounder","Average Catch",33919.3915940099,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"20","Arrowtooth flounder","Catch IAV",0.100641914859805,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.52027526518756,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0155688710036904,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0.000988700564971751,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.149929378531073,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.0422316384180791,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.148940677966102,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0422316384180791,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"32","Arrowtooth flounder","OM: Terminal B",533452.883319168,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"33","Arrowtooth flounder","OM: Terminal SSB",39196.6939230404,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",0.357956634965904,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.358807470392231,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",2.72504442357582,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"37","Cod","Average Catch",16394.1772975466,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"38","Cod","Catch IAV",0.178244197696042,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"39","Cod","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"40","Cod","Avg SSB Relative MSE",0.496936511226447,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"41","Cod","Avg terminal SSB Relative MSE",0.0983195310888763,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"42","Cod","EM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"45","Cod","OM: P(SSB < SSBlimit)",0.00303672316384181,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00303672316384181,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"50","Cod","OM: Terminal B",403229.051339535,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"51","Cod","OM: Terminal SSB",179426.78917868,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"52","Cod","OM: Terminal SSB Depletion",0.701364392102984,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.684761549890008,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"54","Cod","OM: Average SSB Depletion",0.78464831630082,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
