"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ms_run_fb40_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"24","Arrowtooth flounder","Average Catch",33590.41846253,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"25","Arrowtooth flounder","Catch IAV",0.108502501395208,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"26","Arrowtooth flounder","P(Closed)",0.00718085106382979,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"27","Arrowtooth flounder","Avg SSB Relative MSE",375775664580.626,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",362240083729445,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.0188829787234043,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.132446808510638,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.0840425531914894,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0103723404255319,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.123936170212766,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0840425531914894,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"37","Arrowtooth flounder","OM: Terminal B",76858.0141514548,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"38","Arrowtooth flounder","OM: Terminal SSB",11022.4232297185,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",140068.159054104,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",11.033456686405,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.0759305757992605,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.665078684035,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"44","Arrowtooth flounder","OM: SSB Collapse",34,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"45","Arrowtooth flounder","OM: SSB Collapse from F",34,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",5,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"47","Cod","Average Catch",16482.6394774165,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"48","Cod","Catch IAV",0.218270359620671,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"49","Cod","P(Closed)",0.00319148936170213,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"50","Cod","Avg SSB Relative MSE",21439512882.3411,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"51","Cod","Avg terminal SSB Relative MSE",974928229147.878,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"52","Cod","EM: P(Fy > Flimit)",0.0125,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"53","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"54","Cod","OM: P(Fy > Flimit)",0.0232712765957447,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"55","Cod","OM: P(SSB < SSBlimit)",0.0109042553191489,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00345744680851064,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0142287234042553,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0109042553191489,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"60","Cod","OM: Terminal B",363568.65914858,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"61","Cod","OM: Terminal SSB",164834.827589169,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"62","Cod","OM: Terminal Dynamic SB0",297982.166682855,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"63","Cod","OM: Terminal SSB Depletion",164.999827416586,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.5437338851209,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"65","Cod","OM: Average SSB Depletion",0.59371712993531,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"67","Cod","OM: SSB Collapse",3,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"68","Cod","OM: SSB Collapse from F",3,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"69","Cod","OM: SSB Collapse FAIL",1,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
