"","Species","Performance metric","ms_mod_ssp585_OM__ss_run_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0075,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0138125,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"60","Cod","OM: Terminal B",349242.47849846,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"61","Cod","OM: Terminal SSB",138606.431649176,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",259808.155305555,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",138.745176826002,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.530887123874816,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.406101140218614,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
