"","Species","Performance metric","ms_mod_ssp126_OM__ss_run_M_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.506688270374507,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00197422085106627,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"32","Arrowtooth flounder","OM: Terminal B",1608271.89796693,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"33","Arrowtooth flounder","OM: Terminal SSB",443534.794503176,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",0.779377345520148,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.788694081857144,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.749933762329771,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"37","Cod","Average Catch",16167.7880174895,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"38","Cod","Catch IAV",0.220482519446237,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"39","Cod","P(Closed)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"40","Cod","Avg SSB Relative MSE",0.49720693129322,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"41","Cod","Avg terminal SSB Relative MSE",0.0992860269918443,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"42","Cod","EM: P(Fy > Flimit)",0.0139830508474576,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0279661016949153,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"50","Cod","OM: Terminal B",474899.418487576,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"51","Cod","OM: Terminal SSB",213483.02177857,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"52","Cod","OM: Terminal SSB Depletion",0.631084789260531,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.619628287622196,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"54","Cod","OM: Average SSB Depletion",0.732326337432249,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
