"","Species","Performance metric","ms_mod_ssp126_OM__ms_run_fb40iter_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.367424213915753,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"18","Pollock","OM: Average SSB Depletion",1.11858825306446,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"19","Arrowtooth flounder","Average Catch",116541.918866379,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"20","Arrowtooth flounder","Catch IAV",0.282096858245569,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.632188323819295,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.033697413432053,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0.0194915254237288,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.962076271186441,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.942584745762712,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"32","Arrowtooth flounder","OM: Terminal B",1586371.74301687,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"33","Arrowtooth flounder","OM: Terminal SSB",271901.921148205,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",0.477784832605278,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.429943764247557,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.493036653592293,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"37","Cod","Average Catch",19771.2254823049,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"38","Cod","Catch IAV",0.158713559633248,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"39","Cod","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"40","Cod","Avg SSB Relative MSE",0.50394401241968,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"41","Cod","Avg terminal SSB Relative MSE",0.10615525678493,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"42","Cod","EM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"50","Cod","OM: Terminal B",522818.711366548,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"51","Cod","OM: Terminal SSB",224051.833114944,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"52","Cod","OM: Terminal SSB Depletion",0.662327630116833,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.613047725024685,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"54","Cod","OM: Average SSB Depletion",0.709808548776281,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
