"","Species","Performance metric","ms_mod_OM__ms_run_concmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",702851.237414586,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",264.020635586262,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.374049481967952,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.401788403927215,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"47","Cod","Average Catch",35060.9972847287,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"48","Cod","Catch IAV",0.248055177391416,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"49","Cod","P(Closed)",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"50","Cod","Avg SSB Relative MSE",0.55677911720171,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"51","Cod","Avg terminal SSB Relative MSE",0.0187836074316084,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"52","Cod","EM: P(Fy > Flimit)",0.9494375,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"53","Cod","EM: P(SSB < SSBlimit)",0.4355625,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"54","Cod","OM: P(Fy > Flimit)",0.936625,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"55","Cod","OM: P(SSB < SSBlimit)",0.1200625,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0130625,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00025,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.344875,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.029375,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"60","Cod","OM: Terminal B",440105.530881313,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"61","Cod","OM: Terminal SSB",125688.065130862,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"62","Cod","OM: Terminal Dynamic SB0",417403.816575285,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"63","Cod","OM: Terminal SSB Depletion",125.813879009871,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.298819269672284,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"65","Cod","OM: Average SSB Depletion",0.305201717121583,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
