"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ss_run_M_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.413461011790588,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"37","Cod","Average Catch",15792.6212731678,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"38","Cod","Catch IAV",0.21940940166135,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"39","Cod","P(Closed)",0.00025,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"40","Cod","Avg SSB Relative MSE",0.49012844629542,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"41","Cod","Avg terminal SSB Relative MSE",0.094232487719319,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"42","Cod","EM: P(Fy > Flimit)",0.0148125,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.029625,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"50","Cod","OM: Terminal B",503334.645563544,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"51","Cod","OM: Terminal SSB",217723.55124014,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"52","Cod","OM: Terminal SSB Depletion",217.941492732872,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.691959779031464,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"54","Cod","OM: Average SSB Depletion",0.731153319416929,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
