"","OM","EM","Species","Performance.metric","Value"
"117","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","EM: P(Fy > Flimit)","0.02"
"118","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","EM: P(SSB < SSBlimit)","0"
"119","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","OM: P(Fy > Flimit)","0"
"120","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","OM: P(SSB < SSBlimit)","0"
"121","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"122","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"123","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"124","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"125","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal B"," 1,404,296"
"126","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal SSB","   297,374"
"127","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal SSB Depletion","0.75"
"128","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.7"
"129","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","Average Catch","    48,241"
"130","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","Catch IAV","0.07"
"131","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","P(Closed)","0"
"132","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","Avg terminal SSB Relative MSE","0"
"133","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(Fy > Flimit)","0"
"134","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0"
"135","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: P(Fy > Flimit)","0"
"136","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0"
"137","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"138","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"139","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"140","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"141","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: Terminal B","   482,137"
"142","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: Terminal SSB","   262,767"
"143","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: Terminal SSB Depletion","0.6"
"144","SS_Ricker_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.47"
"145","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","Average Catch"," 2,405,059"
"146","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","Catch IAV","0.19"
"147","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","P(Closed)","0"
"148","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","Avg terminal SSB Relative MSE","0"
"149","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(Fy > Flimit)","0.02"
"150","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(SSB < SSBlimit)","0.01"
"151","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: P(Fy > Flimit)","0"
"152","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"153","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"154","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"155","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.01"
"156","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"157","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: Terminal B","18,423,086"
