"","OM","EM","Species","Performance.metric","Value"
"122","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal B","2,641"
"123","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB","  342"
"124","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion","1.29"
"125","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.36"
"126","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Average SSB Depletion","0.304844642350945"
"145","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Average Catch","   43"
"146","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Catch IAV","0.33"
"147","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","P(Closed)","0.97"
"148","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Avg SSB Relative MSE","0.146182416342151"
"149","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Avg terminal SSB Relative MSE","0.39"
"150","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit)","0.09"
"151","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit)","0.02"
"152","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(Fy > Flimit)","0.97"
"153","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(SSB < SSBlimit)","0.18"
"154","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.03"
"155","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","1.78"
"156","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"157","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.16"
"158","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: Terminal B","  383"
"159","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: Terminal SSB","  177"
"160","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: Terminal SSB Depletion","0.6"
"161","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.38"
"162","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: Average SSB Depletion","0.359493477107643"
"163","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","Average Catch","  275"
"164","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","Catch IAV","0.3"
"165","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","P(Closed)","1"
"166","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","Avg SSB Relative MSE","0.699378272145448"
"167","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","Avg terminal SSB Relative MSE","0.12"
"168","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit)","0"
"169","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"170","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","OM: P(Fy > Flimit)","0.26"
"171","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","OM: P(SSB < SSBlimit)","0.53"
"172","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"173","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.52"
"174","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"175","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.53"
"176","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","OM: Terminal B","3,083"
"177","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","OM: Terminal SSB","  459"
"178","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion","1.73"
"179","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.48"
