"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_AllDown","SS_OM__SS_fixM_dynamicTier3_EM_AllDown","SS_OM__SS_estM_Tier3_EM_AllDown","SS_OM__SS_estM_dynamicTier3_EM_AllDown","SSM_OM__SS_fixM_Tier3_EM_AllDown","SSM_OM__SS_fixM_dynamicTier3_EM_AllDown","SSM_OM__SS_estM_Tier3_EM_AllDown","SSM_OM__SS_estM_dynamicTier3_EM_AllDown","MS_OM__SS_fixM_Tier3_EM_AllDown","MS_OM__SS_fixM_dynamicTier3_EM_AllDown","MS_OM__SS_estM_Tier3_EM_AllDown","MS_OM__SS_estM_dynamicTier3_EM_AllDown"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00207244410144204,0.00231583415297816,0.00285119793201523,0.00325107614143323,0.129239983567867,0.129843066094451,0.0122721877256896,0.0133497312372692,0.164073079927952,0.164889240380499,0.0146102619205405,0.0154308513268294
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0,0,0.0388492063492063,0.0388095238095238,0,0,0,0,0,0,0,0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,0,0.0388492063492063,0.0388095238095238,0,0,0,0,0,0,0,0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.368170217410154,0.358244342534206,0.367710184498313,0.358157862141872,0.401916448704256,0.398107262127876,0.363016123675876,0.353421516246053,0.422348461709,0.420739105017735,0.394898391731708,0.389527672022533
"27","Cod","Average Catch",24661.0846537017,24821.2287980813,19924.8643451935,20217.619976539,15611.0184897159,16074.3499668872,10100.5990650106,11583.4908747388,23754.241982305,24162.4601141867,18169.8932694843,18565.5180859836
"28","Cod","Catch IAV",13154.6211456628,9705.30538905214,6720.24929995214,5264.92500474534,13965.9796526823,8932.56565635524,2344.22865687998,1468.23713012715,11167.0169430941,8351.8317863668,4287.74666730924,3466.94327179305
"29","Cod","P(Closed)",0.0437301587301587,0.00134920634920635,0.0227777777777778,0,0.090952380952381,0.0270634920634921,0.112857142857143,0.00317460317460317,0.0543650793650794,0.00111111111111111,0.0363492063492063,0
"30","Cod","Avg terminal SSB Relative MSE",0.0161999508520931,0.00267797990676942,0.0278461572649529,0.0264663395783428,0.193279555581205,0.1183537708124,0.0115233210648128,0.00266779043491144,0.0284654696679755,0.0186953029945094,0.010868898844976,0.0128718353813801
"31","Cod","EM: P(Fy > Flimit)",0.0172222222222222,0.0170634920634921,0.00428571428571429,0.00238095238095238,0.0711111111111111,0.140396825396825,0.00246031746031746,0.000238095238095238,0.0315873015873016,0.0484920634920635,0.000714285714285714,0.000952380952380952
"32","Cod","EM: P(SSB < SSBlimit)",0.0641269841269841,0.0019047619047619,0.0463492063492063,0.000158730158730159,0.107619047619048,0.0528571428571429,0.117619047619048,0.0488888888888889,0.0615079365079365,0.0238095238095238,0.0507142857142857,0
"33","Cod","OM: P(Fy > Flimit)",0.0253571428571429,0.0334920634920635,0.000317460317460317,0,0.609960317460317,0.653055555555556,0.166865079365079,0.166746031746032,3.96825396825397e-05,0.000476190476190476,0,0
"34","Cod","OM: P(SSB < SSBlimit)",0.07,0.00293650793650794,0.0455555555555556,0,0.495396825396825,0.550952380952381,0.101507936507937,0.0476190476190476,0.140396825396825,0.16047619047619,0.0757936507936508,0.0792857142857143
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0161904761904762,0.0152380952380952,0.00428571428571429,0.00238095238095238,0.0341269841269841,0.0601587301587302,0.00182539682539683,0.000158730158730159,0.0315873015873016,0.048015873015873,0.000714285714285714,0.000952380952380952
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0243253968253968,0.0316666666666667,0.000317460317460317,0,0.572976190476191,0.57281746031746,0.166230158730159,0.166666666666667,3.96825396825397e-05,0,0,0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0126190476190476,0.000238095238095238,0.0105555555555556,0.000158730158730159,0.000952380952380952,0,0.0166666666666667,0.00126984126984127,0.000634920634920635,0,0.00238095238095238,0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0184920634920635,0.00126984126984127,0.00976190476190476,0,0.388730158730159,0.498095238095238,0.000555555555555556,0,0.0795238095238095,0.136666666666667,0.0274603174603175,0.0792857142857143
"39","Cod","OM: Terminal SSB/SSBtarget",0.299514654060977,0.29010329909791,0.37249921728984,0.36372478932947,0.16120098829645,0.146608421858728,0.333227723359232,0.308553551734464,0.300698811117877,0.296470973360206,0.42123487397765,0.417314920943419
