"","OM","EM","Species","Performance.metric","Value"
"122","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal B","27,635"
"123","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal SSB"," 7,472"
"124","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal SSB Depletion","1.05"
"125","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.86"
"126","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","OM: Average SSB Depletion","1.02751727495187"
"127","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","Average Catch","   127"
"128","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","Catch IAV","0.11"
"129","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","P(Closed)","1"
"130","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","Avg SSB Relative MSE","0.632477871022105"
"131","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","Avg terminal SSB Relative MSE","0.02"
"132","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","EM: P(Fy > Flimit)","0"
"133","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","EM: P(SSB < SSBlimit)","0"
"134","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","OM: P(Fy > Flimit)","0"
"135","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","OM: P(SSB < SSBlimit)","0"
"136","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"137","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"138","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"139","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"140","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal B"," 1,653"
"141","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal SSB","   339"
"142","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal SSB Depletion","0.89"
"143","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.8"
"144","SSM_Ricker_OM","SS_fixM_Fspr_EM","Cod","OM: Average SSB Depletion","0.850485119090667"
"145","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","Average Catch","    40"
"146","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","Catch IAV","0.07"
"147","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","P(Closed)","1"
"148","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","Avg SSB Relative MSE","0.212645296888387"
"149","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","Avg terminal SSB Relative MSE","0.11"
"150","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(Fy > Flimit)","0"
"151","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0"
"152","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: P(Fy > Flimit)","0"
"153","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0"
"154","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"155","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"156","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"157","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"158","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: Terminal B","   787"
"159","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB","   392"
"160","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB Depletion","1.04"
"161","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.75"
"162","SSM_Ricker_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: Average SSB Depletion","0.971311198572022"
"163","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","Average Catch"," 3,409"
"164","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","Catch IAV","0.21"
"165","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","P(Closed)","1"
"166","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","Avg SSB Relative MSE","0.575827093631354"
"167","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","Avg terminal SSB Relative MSE","0.03"
"168","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","EM: P(Fy > Flimit)","0"
"169","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"170","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","OM: P(Fy > Flimit)","0"
"171","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"172","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"173","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"174","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"175","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"176","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","OM: Terminal B","27,200"
"177","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","OM: Terminal SSB"," 6,446"
"178","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","OM: Terminal SSB Depletion","0.91"
"179","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.74"
"180","SSM_Ricker_OM","SS_estM_Fspr_EM","Pollock","OM: Average SSB Depletion","0.894380813038138"
"181","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","Average Catch","   150"
"182","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","Catch IAV","0.11"
"183","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","P(Closed)","1"
"184","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","Avg SSB Relative MSE","0.65271301140495"
"185","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","Avg terminal SSB Relative MSE","0.02"
"186","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","EM: P(Fy > Flimit)","0"
"187","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","EM: P(SSB < SSBlimit)","0"
"188","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","OM: P(Fy > Flimit)","0"
"189","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","OM: P(SSB < SSBlimit)","0"
"190","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"191","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"192","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"193","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"194","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","OM: Terminal B"," 1,633"
"195","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","OM: Terminal SSB","   315"
"196","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","OM: Terminal SSB Depletion","0.83"
"197","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.74"
"198","SSM_Ricker_OM","SS_estM_Fspr_EM","Cod","OM: Average SSB Depletion","0.790264992777"
"199","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","Average Catch","    56"
"200","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","Catch IAV","0.07"
"201","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","P(Closed)","1"
"202","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","Avg SSB Relative MSE","0.302694780556183"
"203","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","Avg terminal SSB Relative MSE","0.01"
"204","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(Fy > Flimit)","0"
"205","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0"
"206","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: P(Fy > Flimit)","0"
