"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_ATFRup","SS_OM__SS_fixM_dynamicTier3_EM_ATFRup","SS_OM__SS_estM_Tier3_EM_ATFRup","SS_OM__SS_estM_dynamicTier3_EM_ATFRup","SSM_OM__SS_fixM_Tier3_EM_ATFRup","SSM_OM__SS_fixM_dynamicTier3_EM_ATFRup","SSM_OM__SS_estM_Tier3_EM_ATFRup","SSM_OM__SS_estM_dynamicTier3_EM_ATFRup","MS_OM__SS_fixM_Tier3_EM_ATFRup","MS_OM__SS_fixM_dynamicTier3_EM_ATFRup","MS_OM__SS_estM_Tier3_EM_ATFRup","MS_OM__SS_estM_dynamicTier3_EM_ATFRup"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0,0,0,0,0,0,0.000232558139534884,0,0.0125581395348837,0.00449612403100775
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,0,0.0272093023255814,0.0013953488372093,0,0,0.00248062015503876,0,0,0,0,0
"13","Pollock","OM: Terminal SSB/SSBtarget",0.416187433800531,0.409770011948804,0.342222121178899,0.33726876466558,0.60955909541865,0.607622814846723,0.409680503611297,0.406201581436343,1.21665083427075,1.22181519661327,0.979290360394941,0.980747220228701
"14","Cod","Average Catch",143156.337970394,144315.328692673,146384.365175987,147624.206475695,143764.544071568,144949.771457253,141829.231127008,143076.759016017,151816.941004628,152256.637414762,157280.19681742,157443.257501386
"15","Cod","Catch IAV",3305.85122099814,2384.12990292928,3605.7396461641,2565.21826518348,3197.3310422952,2244.18660437758,3045.17550732605,2201.18601262533,3758.69176364784,2850.203508197,3832.70230910977,2960.84493465625
"16","Cod","P(Closed)",0,0,0,0,0,0,0,0,0,0,0,0
"17","Cod","Avg terminal SSB Relative MSE",0.000597081946768317,0.000583085941330412,0.000577420542863399,0.000583966152598033,0.000507815040510983,0.000519396668454874,0.000515817768838843,0.000499185204396047,0.00053069145237034,0.000513769330211304,0.000530043661010598,0.000528287618985606
"18","Cod","EM: P(Fy > Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"19","Cod","EM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"20","Cod","OM: P(Fy > Flimit)",0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0,0,0,0
"21","Cod","OM: P(SSB < SSBlimit)",7.75193798449612e-05,0,0.000155038759689922,0,0.000155038759689922,0,0,0,0,0,0,0
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0,0,0,0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",7.75193798449612e-05,0,0.000155038759689922,0,0.000155038759689922,0,0,0,0,0,0,0
"26","Cod","OM: Terminal SSB/SSBtarget",0.406015806412058,0.401096836758687,0.391762635979912,0.386447583529122,0.397296835275937,0.392291313318016,0.405619379252337,0.400347772008053,0.670910504873645,0.667789559776804,0.677916784353746,0.676543225256805
"27","Arrowtooth flounder","Average Catch",43358.2358283395,43322.6792107864,44585.0572881108,44564.544728632,51311.350169119,51157.3051252293,64639.1424960212,64492.8830212985,46243.4235269096,46166.7131420745,48686.8082061941,48633.1474110092
"28","Arrowtooth flounder","Catch IAV",246.930047399284,252.312513405507,288.373373369331,287.81182616266,433.413380222306,463.832879737678,741.69690949156,732.465891098676,250.206574152382,260.328179834425,284.091457819894,294.581115126198
"29","Arrowtooth flounder","P(Closed)",0,0,0,0,0,0,0,0,0,0,0,0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000201228461858855,0.000204166376138958,0.000230687128437974,0.00023669640527701,0.0026229356804709,0.00263680189418247,0.000492299279591193,0.000502102390411793,0.00021081745882715,0.000219152457831842,0.000242526242661933,0.000244551808527534
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0,0,0,0,0,0,0,0.524390243902439,0,0,0,0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,0,0,0,0,0,0,0.524390243902439,0,0,0,0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.568676567825214,0.568834566392017,0.545457881277618,0.545487945459131,0.731724205675661,0.733173452278556,0.562534545122584,0.563890171887308,0.681126083758908,0.681555380886244,0.672753683875077,0.673394307128581
