"","OM","EM","Species","Performance.metric","Value"
"207","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: P(SSB < SSBlimit)","0.05"
"208","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.13"
"209","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.03"
"210","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"211","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01"
"212","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: Terminal B","  869"
"213","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB","  397"
"214","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB Depletion","1.05"
"215","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.62"
"216","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: Average SSB Depletion","0.929448827339358"
"217","SSM_OM","SS_fixM_AvgF_EM","Pollock","Average Catch","  124"
"218","SSM_OM","SS_fixM_AvgF_EM","Pollock","Catch IAV","0.29"
"219","SSM_OM","SS_fixM_AvgF_EM","Pollock","P(Closed)","1"
"220","SSM_OM","SS_fixM_AvgF_EM","Pollock","Avg SSB Relative MSE","0.615988099893118"
"221","SSM_OM","SS_fixM_AvgF_EM","Pollock","Avg terminal SSB Relative MSE","0.18"
"222","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy > Flimit)","0"
"223","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"224","SSM_OM","SS_fixM_AvgF_EM","Pollock","OM: P(Fy > Flimit)","0"
"225","SSM_OM","SS_fixM_AvgF_EM","Pollock","OM: P(SSB < SSBlimit)","0.04"
"226","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"227","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"228","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"229","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.04"
"230","SSM_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal B","1,214"
"231","SSM_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB","  180"
"232","SSM_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB Depletion","0.38"
"233","SSM_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.38"
"234","SSM_OM","SS_fixM_AvgF_EM","Pollock","OM: Average SSB Depletion","0.378375126359382"
"253","SSM_OM","SS_fixM_AvgF_EM","Cod","Average Catch","   19"
"254","SSM_OM","SS_fixM_AvgF_EM","Cod","Catch IAV","0.24"
"255","SSM_OM","SS_fixM_AvgF_EM","Cod","P(Closed)","1"
"256","SSM_OM","SS_fixM_AvgF_EM","Cod","Avg SSB Relative MSE","0.0904897639235591"
"257","SSM_OM","SS_fixM_AvgF_EM","Cod","Avg terminal SSB Relative MSE","0.17"
"258","SSM_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy > Flimit)","0.29"
"259","SSM_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB < SSBlimit)","0.06"
"260","SSM_OM","SS_fixM_AvgF_EM","Cod","OM: P(Fy > Flimit)","0.99"
"261","SSM_OM","SS_fixM_AvgF_EM","Cod","OM: P(SSB < SSBlimit)","0.09"
"262","SSM_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"263","SSM_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.7"
"264","SSM_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"265","SSM_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.03"
"266","SSM_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal B","  187"
"267","SSM_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB","   95"
"268","SSM_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB Depletion","0.26"
"269","SSM_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.26"
"270","SSM_OM","SS_fixM_AvgF_EM","Cod","OM: Average SSB Depletion","0.238652331429087"
"271","SSM_OM","SS_estM_AvgF_EM","Pollock","Average Catch","  122"
"272","SSM_OM","SS_estM_AvgF_EM","Pollock","Catch IAV","0.28"
"273","SSM_OM","SS_estM_AvgF_EM","Pollock","P(Closed)","1"
"274","SSM_OM","SS_estM_AvgF_EM","Pollock","Avg SSB Relative MSE","0.678240226145697"
"275","SSM_OM","SS_estM_AvgF_EM","Pollock","Avg terminal SSB Relative MSE","0.01"
"276","SSM_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy > Flimit)","0"
"277","SSM_OM","SS_estM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"278","SSM_OM","SS_estM_AvgF_EM","Pollock","OM: P(Fy > Flimit)","0"
"279","SSM_OM","SS_estM_AvgF_EM","Pollock","OM: P(SSB < SSBlimit)","0.04"
"280","SSM_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"281","SSM_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"282","SSM_OM","SS_estM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"283","SSM_OM","SS_estM_AvgF_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.03"
"284","SSM_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal B","1,240"
"285","SSM_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal SSB","  190"
"286","SSM_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal SSB Depletion","0.4"
"287","SSM_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.39"
"288","SSM_OM","SS_estM_AvgF_EM","Pollock","OM: Average SSB Depletion","0.384999008358285"
"307","SSM_OM","SS_estM_AvgF_EM","Cod","Average Catch","   19"
"308","SSM_OM","SS_estM_AvgF_EM","Cod","Catch IAV","0.24"
"309","SSM_OM","SS_estM_AvgF_EM","Cod","P(Closed)","1"
"310","SSM_OM","SS_estM_AvgF_EM","Cod","Avg SSB Relative MSE","0.263441238145835"
"311","SSM_OM","SS_estM_AvgF_EM","Cod","Avg terminal SSB Relative MSE","0"
